1777705838.646749392	172.64.144.52	10.10.0.106	443	57674	66
1777705838.646749614	172.64.144.52	10.10.0.106	443	57674	66
1777705838.646785737	10.10.0.106	172.64.144.52	57674	443	8754
1777705838.647027432	172.64.144.52	10.10.0.106	443	57674	66
1777705838.647287341	172.64.144.52	10.10.0.106	443	57674	66
1777705838.647551524	172.64.144.52	10.10.0.106	443	57674	66
1777705838.647565212	10.10.0.106	172.64.144.52	57674	443	4463
1777705838.647824188	172.64.144.52	10.10.0.106	443	57674	66
1777705838.648081667	172.64.144.52	10.10.0.106	443	57674	66
1777705838.648275601	172.64.144.52	10.10.0.106	443	57674	66
1777705838.648483853	172.64.144.52	10.10.0.106	443	57674	66
1777705838.648746144	172.64.144.52	10.10.0.106	443	57674	66
1777705838.648980631	172.64.144.52	10.10.0.106	443	57674	66
1777705838.649215201	172.64.144.52	10.10.0.106	443	57674	66
1777705838.649342822	172.64.144.52	10.10.0.106	443	57674	66
1777705838.687004880	172.64.144.52	10.10.0.106	443	57674	101
1777705838.687344663	10.10.0.106	172.64.144.52	57674	443	13098
1777705838.687372764	10.10.0.106	172.64.144.52	57674	443	3404
1777705838.687556731	10.10.0.106	172.64.144.52	57674	443	10202
1777705838.687823294	172.64.144.52	10.10.0.106	443	57674	66
1777705838.687853027	10.10.0.106	172.64.144.52	57674	443	2962
1777705838.688085809	172.64.144.52	10.10.0.106	443	57674	66
1777705838.688386720	172.64.144.52	10.10.0.106	443	57674	66
1777705838.688550844	172.64.144.52	10.10.0.106	443	57674	66
1777705838.688581751	10.10.0.106	172.64.144.52	57674	443	10202
1777705838.688741534	172.64.144.52	10.10.0.106	443	57674	66
1777705838.689123689	172.64.144.52	10.10.0.106	443	57674	66
1777705838.689420274	172.64.144.52	10.10.0.106	443	57674	66
1777705838.689420636	172.64.144.52	10.10.0.106	443	57674	66
1777705838.689462024	10.10.0.106	172.64.144.52	57674	443	11650
1777705838.689684175	172.64.144.52	10.10.0.106	443	57674	66
1777705838.689982104	172.64.144.52	10.10.0.106	443	57674	66
1777705838.690296416	172.64.144.52	10.10.0.106	443	57674	66
1777705838.690564513	172.64.144.52	10.10.0.106	443	57674	66
1777705838.690597579	10.10.0.106	172.64.144.52	57674	443	13098
1777705838.690875491	172.64.144.52	10.10.0.106	443	57674	66
1777705838.690875847	172.64.144.52	10.10.0.106	443	57674	66
1777705838.691131676	172.64.144.52	10.10.0.106	443	57674	66
1777705838.691389570	172.64.144.52	10.10.0.106	443	57674	66
1777705838.691408346	10.10.0.106	172.64.144.52	57674	443	1603
1777705838.691711760	172.64.144.52	10.10.0.106	443	57674	66
1777705838.692005789	172.64.144.52	10.10.0.106	443	57674	66
1777705838.692127027	172.64.144.52	10.10.0.106	443	57674	66
1777705838.692502083	172.64.144.52	10.10.0.106	443	57674	66
1777705838.692588449	172.64.144.52	10.10.0.106	443	57674	66
1777705838.692889393	172.64.144.52	10.10.0.106	443	57674	66
1777705838.693080343	172.64.144.52	10.10.0.106	443	57674	66
1777705838.701453332	104.18.32.47	10.10.0.106	443	54420	481
1777705838.701453761	104.18.32.47	10.10.0.106	443	54420	113
1777705838.701532748	104.18.32.47	10.10.0.106	443	54420	97
1777705838.701646526	10.10.0.106	104.18.32.47	54420	443	66
1777705838.713773731	104.18.32.47	10.10.0.106	443	54420	355
1777705838.714107183	104.18.32.47	10.10.0.106	443	54420	113
1777705838.714107529	104.18.32.47	10.10.0.106	443	54420	97
1777705838.714572661	10.10.0.106	104.18.32.47	54420	443	66
1777705838.730100923	172.64.144.52	10.10.0.106	443	57674	101
1777705838.730392261	172.64.144.52	10.10.0.106	443	57674	101
1777705838.730447347	10.10.0.106	172.64.144.52	57674	443	15994
1777705838.730477564	10.10.0.106	172.64.144.52	57674	443	472
1777705838.730689797	10.10.0.106	172.64.144.52	57674	443	169
1777705838.730733829	10.10.0.106	172.64.144.52	57674	443	13098
1777705838.731198420	172.64.144.52	10.10.0.106	443	57674	66
1777705838.731198771	172.64.144.52	10.10.0.106	443	57674	66
1777705838.731238120	10.10.0.106	172.64.144.52	57674	443	2962
1777705838.731259585	10.10.0.106	172.64.144.52	57674	443	575
1777705838.731880441	172.64.144.52	10.10.0.106	443	57674	66
1777705838.731880834	172.64.144.52	10.10.0.106	443	57674	66
1777705838.731880989	172.64.144.52	10.10.0.106	443	57674	66
1777705838.732234393	172.64.144.52	10.10.0.106	443	57674	66
1777705838.732234798	172.64.144.52	10.10.0.106	443	57674	66
1777705838.732451554	172.64.144.52	10.10.0.106	443	57674	66
1777705838.732711608	172.64.144.52	10.10.0.106	443	57674	66
1777705838.732920551	172.64.144.52	10.10.0.106	443	57674	66
1777705838.733173577	172.64.144.52	10.10.0.106	443	57674	66
1777705838.733415135	172.64.144.52	10.10.0.106	443	57674	66
1777705838.772789531	172.64.144.52	10.10.0.106	443	57674	101
1777705838.772989684	10.10.0.106	172.64.144.52	57674	443	15994
1777705838.773008122	10.10.0.106	172.64.144.52	57674	443	472
1777705838.773083999	172.64.144.52	10.10.0.106	443	57674	101
1777705838.773166119	10.10.0.106	172.64.144.52	57674	443	169
1777705838.773188996	10.10.0.106	172.64.144.52	57674	443	14546
1777705838.773201568	172.64.144.52	10.10.0.106	443	57674	101
1777705838.773461408	172.64.144.52	10.10.0.106	443	57674	66
